Name of institution,Type of institution,Level,Country,State/Province,City,Website,Area of study,Programme,
American University,Private,Bachelor,The USA,"Washington, DC","Washington, DC",http://www.american.edu/,"Business and Management,Business and Management,Business and Management,Business and Management,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Creative Arts and Design,Law","Accounting,Business studies,Management,Finance,Psychology,Public health,Cultural Studies,Literature,Languages,History,Media,Journalism,Economics,Sociology,Film and television,Graphic Design,Legal Studies",
The Catholic University of America,Private,Bachelor,The USA,"Washington, DC","Washington, DC",http://www.cua.edu/index.html,"Architecture and Construction,Architecture and Construction,Humanities,Humanities,Humanities,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Health and Medicine,Health and Medicine,Business and Management,Business and Management,Business and Management,Business and Management,Engineering,Engineering,Engineering,Engineering,Engineering,Computer Science and IT","Architecture,Built environment,Languages,Cultural Studies,History,Economics,Media,Sociology,Social work,Psychology,Nursing,Accounting,Finance,Marketing,Management,Architecture and Civil Engineering,Mechanical Engineering,Civil Engineering,Electrical Engineering,Biomedical Engineering,Computer Science",
Delaware State University,Public,Bachelor,The USA,Delaware,Dover,http://www.desu.edu/,"Business and Management,Business and Management,Business and Management,Agriculture and Veterinary Medicine,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Computer Science and IT,Computer Science and IT,Humanities,Humanities,Humanities,Humanities,Humanities,Health and Medicine,Health and Medicine,Social Studies and Media,Social Studies and Media,Engineering","Accounting,Entrepreneurship,Management,Agriculture,Hospitality,Aviation,Travel and tourism,Computer Science,IT,Languages,History,Cultural Studies,Legal Studies,Criminal Law,Nursing,Psychology,Social work,Sociology,Engineering Physics",
Goldey-Beacom College,Private,Bachelor,The USA,Delaware,Wilmington,https://www.gbc.edu/,"Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Computer Science and IT,Social Studies and Media,Social Studies and Media,Law,Law,Health and Medicine","Accounting,Management,Entrepreneurship,Finance,Human Resources Management,Marketing,IT,Languages,Economics,Legal Studies,Criminal Law,Psychology",
University of Delaware,Public,Bachelor,The USA,Delaware,Newark,http://www.udel.edu/,"Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Travel and Hospitality,Travel and Hospitality,Social Studies and Media,Social Studies and Media,Social Studies and Media,Health and Medicine,Health and Medicine,Health and Medicine,Humanities,Humanities,Humanities,Humanities,Law,Law,Agriculture and Veterinary Medicine,Agriculture and Veterinary Medicine,Agriculture and Veterinary Medicine,Agriculture and Veterinary Medicine,Engineering,Engineering,Engineering,Engineering,Engineering,Engineering,Engineering,Engineering,Engineering,Engineering,Computer Science and IT,Computer Science and IT","Accounting,Entrepreneurship,Business studies,Finance,Management,Marketing,Hospitality,Hotel management,Linguistics,Economics,Sociology,Nursing,Psychology,Nutrition and health,Cultural Studies,History,Languages,Literature,Legal Studies,Criminal Law,Agriculture,Plant and crop sciences,Veterianry medicine,Horticulture,Biomedical Engineering,Bioelectrical Engineering,Chemical Engineering,Civil Engineering,Electrical Engineering,Environmental Engineering,Electrical and Computer Engineering,Mechanical Engineering,Ocean Engineering,Material Sciences and Engineering,Computer Science,Software",
Wesley College,Private,Bachelor,The USA,Delaware,Dover,http://www.wesleycollege.net/,"Business and Management,Business and Management,Computer Science and IT,Humanities,Humanities,Humanities,Health and Medicine,Health and Medicine,Law","Accounting,Management,Multimedia,Languages,Cultural Studies,History,Psychology,Nursing,Legal Studies",
Wilmington University,Private,Bachelor,The USA,Delaware,New Castle,http://www.wilmu.edu/,"Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Law,Law,Social Studies and Media,Computer Science and IT,Health and Medicine,Health and Medicine","Accounting,Finance,Management,Human Resources Management,Marketing,Criminal Law,Legal Studies,Media,Software,Nursing,Psychology",
Flagler College,Private,Bachelor,The USA,Florida,St. Augustine,http://www.flagler.edu/,"Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Travel and Hospitality,Travel and Hospitality,Humanities,Humanities,Humanities,Social Studies and Media,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Law","Film and television,Journalism,Economics,Media,Hospitality,Travel and tourism,History,Cultural Studies,Languages,Sociology,Accounting,Finance,Marketing,Management,Entrepreneurship,Legal Studies",
Rollins College,Private,Bachelor,The USA,Florida,Winter Park,http://www.rollins.edu/,"Business and Management,Business and Management,Humanities,Humanities,Humanities,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Computer Science and IT,Health and Medicine","Management,Entrepreneurship,Cultural Studies,Languages,History,Film and television,Economics,Sociology,Media,Computer Science,Psychology",
Stetson University,Private,Bachelor,The USA,Florida,DeLand,http://www.stetson.edu/,"Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Humanities,Humanities,Humanities,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Health and Medicine,Health and Medicine","Accounting,Management,Finance,Marketing,Entrepreneurship,Business studies,Languages,Cultural Studies,History,Economics,Media,Journalism,Sociology,Psychology,Public health",
Embry-Riddle Aeronautical University,Private,Bachelor,The USA,Florida,Daytona Beach,https://erau.edu/,"Computer Science and IT,Engineering,Engineering,Engineering,Engineering,Engineering,Engineering,Business and Management,Business and Management,Computer Science and IT,Computer Science and IT","Computer Science,Aerospace Engineering,Engineering technology,Electrical Engineering,Civil Engineering,Mechanical Engineering,Computer Engineering,Management,Accounting,Computer Science,Software",
Florida Southern College,Private,Bachelor,The USA,Florida,Lakeland,http://www.flsouthern.edu/home.aspx,"Humanities,Humanities,Humanities,Humanities,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Creative Arts and Design,Business and Management,Business and Management,Business and Management,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Computer Science and IT,Agriculture and Veterinary Medicine,Law,Engineering","Languages,History,Cultural Studies,English studies,Psychology,Nursing,Pharmacology,Medicine,Graphic Design,Accounting,Management,Finance,Economics,Film and television,Media,Journalism,Computer Science,Veterianry medicine,",
University of Tampa,Private,Bachelor,The USA,Florida,Tampa,https://dev.ut.edu/,"Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Humanities,Humanities,Humanities,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Creative Arts and Design,Agriculture and Veterinary Medicine","Accounting,Management,Entrepreneurship,Finance,Marketing,Public health,Psychology,Nursing,Dentistry,Medicine,Ophthalmology,Pharmacology,Languages,Cultural Studies,History,Sociology,Media,Journalism,Economics,Film and television,Graphic Design,Veterianry medicine",
Florida Memorial University,Private,Bachelor,The USA,Florida,Miami,http://www.fmuniv.edu/,"Travel and Hospitality,Computer Science and IT,Humanities,Humanities,Humanities,Law,Law,Health and Medicine,Business and Management,Business and Management,Business and Management,Business and Management","Aviation,Computer Science,Languages,Sociology,Social work,Criminal Law,Legal Studies,Psychology,Accounting,Management,Finance,Marketing",
Keiser University,Private,Bachelor,The USA,Florida,Ft. Lauderdale,http://www.keiseruniversity.edu/,"Business and Management,Business and Management,Business and Management,Travel and Hospitality,Travel and Hospitality,Law,Law,Computer Science and IT,Computer Science and IT,Computer Science and IT,Health and Medicine","Accounting,Management,Entrepreneurship,Hospitality,Aviation,Legal Studies,Criminal Law,Computer Science,IT,Software,Psychology",
Warner University,Private,Bachelor,The USA,Florida,Lake Wales,http://warner.edu/,"Agriculture and Veterinary Medicine,Humanities,Humanities,Social Studies and Media,Health and Medicine,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management","Agriculture,History,Languages,Social work,Psychology,Accounting,Finance,Human Resources Management,Management,Marketing",
University of Miami,Private,Bachelor,The USA,Florida,Miami,http://welcome.miami.edu/,"Health and Medicine,Health and Medicine,Health and Medicine,Humanities,Humanities,Humanities,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Computer Science and IT,Computer Science and IT,Engineering,Engineering,Engineering,Engineering,Engineering,Engineering,Engineering,Engineering,Engineering,Architecture and Construction,Law,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management","Nursing,Psychology,Public health,Languages,Cultural Studies,History,Economics,Sociology,Journalism,Media,Software,Computer Science,Civil and Architectural Engineering,Electrical and Computer Engineering,Environmental Engineering,Industrial Engineering,Mechanical Engineering,Aerospace Engineering,Architectural Engineering,Computer Engineering,Biomedical Engineering,Architecture,Legal Studies,Entrepreneurship,Accounting,Finance,Management,Marketing,Human Resources Management",
University of Florida,Public,Bachelor,The USA,Florida,Gainesville,http://www.ufl.edu/,"Agriculture and Veterinary Medicine,Agriculture and Veterinary Medicine,Agriculture and Veterinary Medicine,Creative Arts and Design,Creative Arts and Design,Architecture and Construction,Architecture and Construction,Architecture and Construction,Architecture and Construction,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Law,Law,Humanities,Humanities,Humanities,Humanities,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Engineering,Engineering,Engineering,Engineering,Engineering,Engineering,Engineering,Engineering,Engineering,Engineering,Engineering,Engineering,Engineering,Computer Science and IT,Business and Management,Business and Management,Business and Management,Business and Management,Travel and Hospitality","Agriculture,Horticulture,Plant and crop sciences,Graphic Design,Interior design,Architecture,Construction,Built environment,Veterianry medicine,Journalism,Media,Film and television,Linguistics,Sociology,Criminal Law,Civil Law,Languages,Cultural Studies,History,Literature,Dentistry,Nursing,Pharmacology,Psychology,Aerospace Engineering,Agricultural and Biological Engineering,Biomedical Engineering,Chemical Engineering,Civil Engineering,Coastal and Oceanographic Engineering,Computer Engineering,Electrical Engineering,Environmental Engineering,Industrial and Systems Engineering,Material Sciences and Engineering,Mechanical Engineering,Nuclear Engineering Sciences,Computer Science,Accounting,Management,Finance,Marketing,Travel and tourism",
Algonquin College ,Community college,,Canada,Ottawa,Ontario,http://www.algonquincollege.com,College-approved Certificate,"Business and Management,Business and Management,Creative Arts and Design,Architecture and Construction,Architecture and Construction,Engineering,Business and Management,Social Studies and Media,Travel and Hospitality,Computer Science and IT,Computer Science and IT,Computer Science and IT,Computer Science and IT,Creative Arts and Design,Health and Medicine,Creative Arts and Design,Travel and Hospitality,Architecture and Construction,Business and Management,Business and Management,Social Studies and Media,Architecture and Construction,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Computer Science and IT,Social Studies and Media,Engineering,Health and Medicine,Computer Science and IT,Computer Science and IT,Computer Science and IT,Computer Science and IT,Engineering,Travel and Hospitality,Travel and Hospitality,Health and Medicine,Health and Medicine,Social Studies and Media,Health and Medicine,Health and Medicine,Social Studies and Media,Engineering,Engineering,Architecture and Construction,Engineering,Engineering,Humanities,Business and Management,Architecture and Construction,Personal Care and Fitness,Travel and Hospitality,Architecture and Construction,Business and Management,Personal Care and Fitness,Health and Medicine,Creative Arts and Design,Creative Arts and Design,Creative Arts and Design,Creative Arts and Design,Social Studies and Media,Creative Arts and Design,Creative Arts and Design,Humanities,Architecture and Construction,Creative Arts and Design,Creative Arts and Design,Creative Arts and Design,Law,Creative Arts and Design,Creative Arts and Design,Business and Management,Health and Medicine,Health and Medicine,Computer Science and IT,Architecture and Construction,Creative Arts and Design,Computer Science and IT,Creative Arts and Design,Architecture and Construction,Personal Care and Fitness,Personal Care and Fitness,Architecture and Construction,Agricultural and Veterinary Medicine,Travel and Hospitality,Business and Management,Creative Arts and Design,Architecture and Construction,Creative Arts and Design,Creative Arts and Design,Creative Arts and Design,Business and Management,Computer Science and IT,Architecture and Construction,Law,Law,Social Studies and Media,Engineering,Business and Management,Business and Management,Personal Care and Fitness,Personal Care and Fitness,Computer Science and IT,Architecture and Construction,Health and Medicine,Health and Medicine,Computer Science and IT,Architecture and Construction,Creative Arts and Design,Health and Medicine,Business and Management,Business and Management,Business and Management,Business and Management,Health and Medicine,Health and Medicine,Law,Law,Health and Medicine,Creative Arts and Design,Health and Medicine,Social Studies and Media,Architecture and Construction,Architecture and Construction,Health and Medicine,Health and Medicine,Creative Arts and Design,Business and Management,Business and Management,Personal Care and Fitness,Architecture and Construction,Health and Medicine,Creative Arts and Design,Social Studies and Media,Social Studies and Media,Personal Care and Fitness,Business and Management,Humanities,Computer Science and IT,Agricultural and Veterinary Medicine,Agricultural and Veterinary Medicine,Social Studies and Media,Architecture and Construction,Architecture and Construction,Social Studies and Media,Health and Medicine,Social Studies and Media,Business and Management,Computer Science and IT,Architecture and Construction,Business and Management,Architecture and Construction,Travel and Hospitality,Creative Arts and Design,Social Studies and Media,Health and Medicine,Business and Management,Business and Management,Business and Management,Social Studies and Media,Social Studies and Media,Social Studies and Media,Business and Management,Business and Management,Business and Management,Computer Science and IT,Social Studies and Media,Humanities","Accounting,Advertising and Marketing Communications Management,Animation,Architectural Technician,Architectural Technology,Buiding Science,Commerce (E-Supply Chain Management),Early Learning and Community Development,Hospitality and Tourism Management,Information Technology - Information Resource Management,Information Technology - Interactive Multimedia and Design,Information Technology - Network Technology,Information Technology - Photonics and Laser Technology,Interior Design,Science in nursing,Baking and Pastry Arts,Bartending,Biotechnology - Advanced,Bookkepping and Accounting Practises,Brand Management,Broadcasting - Television,Buiding Construction Technician,Accounting,Management and Entrepreneurship,Marketing,Business Administration,Business Administration - Accounting,Business Administration - Finance,Business Administration - Human Resources,Business Administration - International Business,Business Administration - Marketing,Business Administration - Materials and Operations Management,Business Administration - General Business,Business Intelligence System Infrastructure,Child and Youth Care,Civil Engineering Technology,Clinically Intensive Orientation to Nursing in Ontario,Computer Engineering Technology - Computer Science,Computer Programmer,Computer Systems Technician,Computer Systems Technology - Security,Construction Engineering Technician,Culinary Management,Culinary Skills - Chef Training,Dental Assiting (Levels I and II),Dental Hygiene,Development Services Worker,Diagnostic Medical Sonograply,Digital Health,Early Childhood Education,Electrical Engineering Technician,Electrical Engineering Technology,Electrician (Construction and Maintenance),Electro-Mechanical Engineering Technician - Robotics,Energy Management,English for Academic Purposes (International),Entrepreneurship Acceleration,Environmental Management and Assessment,Esthetician,Event Management,Facilities Technician,Financial Services,Fitness and Health Promotion,Food and Nutrition Management,Game Development,General Arts and Science - Aboriginal,General Arts and Science - Aviation Management,General Arts and Science - Aviation Management,General Arts and Science - Community Studies,General Arts and Science - Concept Art Foundations,General Arts and Science - Design Studies,General Arts and Science - English for Academic Purposes,General Arts and Science - Environment Studies,General Arts and Science - Fine Art,General Arts and Science - Introduction to Music Industry Arts,General Arts and Science - January Start,General Arts and Science - Justice Studies,General Arts and Science - Media and Communication Studies,General Arts and Science - Pre-Animation,General Arts and Science - Pre-Business,General Arts and Science - Pre-Health Sciences,General Arts and Science - Pre-Nursing,General Arts and Science - Pre-Technology,General Arts and Science - Pre-Trades,General Arts and Science - Year II,Geographic Information Systems,Graphic Design,Green Architecture,Hairstyling,Hairstylist,Heating, Refrigeration and Air Conditioning Technician,Horticultural Industries,Hospitality - Hotel and Restaurant Operations Management,Human Resources Management,Illustration and Concept Art,Instrumentation and Control Technician,Interactive Media Design,Interactive Media Management,Interior Decorating,International Business Management,Internet Applications and Web Developing,Kitchen and Bath Design,Law Clerk,Law Clerk (Intensive),Library and Information Technician,Manufacturing Engineering Technician,Marketing Management,Marketing Research and Business Intelligence,Massage Therapy,Massage Therapy (Intensive),Mechanical Engineering Technology,Mechanical Techniques - Plumbing,Medical Device Reprocessing,Medical Radiation Technology,Mobile Application Design and Development,Motive Power Technician,Music Industry Arts,Occupational Therapist Assistant/ Physiotherapy Assistant,Office Administration - Executive,Office Administration - General,Office Administration - Health Services,Office Administration - Legal,Orientation to Nursing in Ontario for Nurses,Orientation to Nursing in Ontario for Practical Nurses,Paralegal,Paralegal,Paramedic,Performing Arts,Personal Support Worker,Photography,Plumber ,Powerline Technician,Practical Nursing,Practical Nursing - Foreign-Trained Nurse,Professional Writing,Project Management,Public Relations,Recreation and Leisure Services,Refrigeration and Air Conditioning Systems Mechanic,Respiratory Therapy,Scriptwriting,Social Service Worker (Intensive),Social Service Worker,Spa Management,Sport Business Management,Teachers of English as a Second/Foreign Language,Technical Writer,Veteranary Assistant,Veteranary Technician,Victimology,Water and Wastewater Technician,Welding and Fabrication Techniques,Early Childhood Education,Practical Nursing,Social Service Worker,Business,Computer Systems Technician,Motive Power Technician,Office Administration - Executive,Construction Techniques,Culinary Skills - Chef Training,General Arts and Science ,Personal Support Worker,Science in Nursing,Business - Management and Entrepreneurship,Office Administration - General,Office Administration - Executive,Early Childhood Education,Personal Support Worker,Social Service Worker,Business - Accounting,Business - Management and Entrepreneurship,Business - Marketing,Computer Programmer,Interactive Media Design,English and Academic Foundations "
Assiniboine Community College,Community college,,Canada,Brando,Manitoba,http://assiniboine.net,Advanced Diploma,"Business and Management,Agricultural and Veterinary Medicine,Agricultural and Veterinary Medicine,Humanities,Law,Architecture and Construction,Business and Management,Architecture and Construction,Engineering,Health and Medicine,Architecture and Construction,Travel and Hospitality,Social Studies and Media,Social Studies and Media,Social Studies and Media,Architecture and Construction,Health and Medicine,Computer Science and IT,Architecture and Construction,Agricultural and Veterinary Medicine,Travel and Hospitality,Business and Management,Architecture and Construction,Creative Arts and Design,Creative Arts and Design,Architecture and Construction,Law,Business and Management,Health and Medicine,Social Studies and Media,Computer Science and IT,Business and Management,Business and Management,Health and Medicine,Agricultural and Veterinary Medicine,Architecture and Construction,Engineering,Health and Medicine,Health and Medicine,Health and Medicine,Social Studies and Media,Health and Medicine","Accounting and Finance,Agexpert,Agribusiness,American Sign Language,Applied Counselling Skills,Automotive Technician,Business Administration,Civil Technician,Communications Engineering Technology,Comprehensive Health Care Aide,Construction Electrician,Cullinary Arts,Early Childhood Education,Early Childhood Program Management,Education Assistant,Environmental Technologies - Land and Water Management,Food Security,Geographic Information Systems,Heavy Duty Equipment Technician,Horticultural Production,Hotel and Restaurant Mangement,Human Resource Management,Industrial Metals Fabrication,Interactive Media Arts - Interactive,Interactive Media Arts - Media,John Deere TECH,Legal Administration,Management Skills,Medical Administration,MSHS - Intergrated Education Assistant,Network Administration Technology,Office Mangement,Office Skills,Palliative Care,Pesticide Certification,Piping Trades,Power Engineering,Practical Nursing,Practical Nursing Bridging,Practical Nursing Refresher,Social Service Worker,Sustainable Food Systems"
Aurora College,College,,Canada,Inuvik,Northwest Territories,http://www.auroracollege.nt.ca/,Diploma,"Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Social Studies and Media,Social Studies and Media,Business and Management,Health and Medicine,Social Studies and Media","Business Administration,Office Administration,Office Administration,Office Administration,Business Administration,Education,Early Childhood Development,Business Administration,Science in Nursing,Personal Support Worker"
Bow Valley College,College,,Canada,Calgary,Alberta,http://bowvalleycollege.ca,Diploma,"Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Law,Law,Law,Law,Law,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Creative Arts and Design","Pharmacy Technician,Nutrition Manager,Practical Nursing,Health Care Aide,Recreation Therapy Aide,Aborginal Focus,General Justice,Youth Justice Specialization,Correctional Studies Specialization,Law Enforce Specialization,Social Work,Addiction Studies - Aboriginal Focus,Addiction Studies - Aboriginal Focus,Disability Studies,Early Learning and Child Care,Education Assistant,Alcohol Spectrunm Disorder Education ,Interior Decorating"
Cambrian College,College,,Canada,Sudbury,Ontario,http://cambriancollege.ca,Graduate Certificate,"Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Engineering,Engineering,Engineering,Engineering,Engineering,Engineering,Engineering,Engineering,Creative Arts and Design,Creative Arts and Design,Creative Arts and Design,Creative Arts and Design,Creative Arts and Design,Creative Arts and Design,Creative Arts and Design,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Law,Law,Law,Business and Management,Business and Management,Business and Management,Business and Management,Computer Science and IT,Computer Science and IT,Computer Science and IT,Computer Science and IT,Computer Science and IT,Business and Management,Business and Management,Architecture and Construction,Architecture and Construction,Social Studies and Media,Social Studies and Media","Advanced Care Parademic,Science in Nursing,Dental Assiting (Levels I and II),Detal Hygiene,Diagnostic Medical Sonograply,Magnetic Resonance Imaging (MRI),Medical Laboratory,Medical Radiation Technology,Parademic,Personal Support Worker,Physical Fitness Management,Practical Nursing,Chemical Engineering Technology - Lab and Process Control,Civil Technician,Civil Technology,Electrical Engineering Technician,Electrical Engineering Technology,Power Technician,Power Technology,Power Techniques,Animation,Art and Design Fundamentals,Design and Visual Arts,Graphic Design,Independent Music Production,Music - Performance,Threater Arts - Technical Production,Child and Youth Care,Early Childhood Education,Social Service Worker,Heating, Refrigeration and Air Conditioning Technician,Heavy Equipment Technician,Heavy Equipment Techniques,Powerline Technician,Welding and Fabrication Technician,Community and Justice Services,Cooperate Safety and Security,Protection, Security and Security,Accounting,Business Administration,Business Administration - Accounting,Business Fundamentals,Computer Systems Technology ,Human Resource Management,International Business Management,IT Business Analysis,Network Technician,Organization Management,Public Relations,Environmental Field Techniques,Environment Monitoring and Impact Assesment,General Arts and Science - English for Academic Purposes,General Arts and Science "
Camosun College,College,,Canada,Victoria,British Columbia,http://www.camosun.ca/,Certificate,"Business and Management,Business and Management,Business and Management,Health and Medicine,Creative Arts and Design,Personal Care and Fitness,Architecture and Construction,Business and Management,Business and Management,Business and Management,Business and Management,Health and Medicine,Engineering,Engineering,Engineering,Creative Arts and Design,Social Studies and Media,Social Studies and Media,Engineering,Computer Science and IT,Computer Science and IT,Computer Science and IT,Law,Health and Medicine,Business and Management,Creative Arts and Design,Social Studies and Media,Business and Management,Engineering,Engineering,Engineering,Engineering,Engineering,Humanities,Architecture and Construction,Creative Arts and Design,Social Studies and Media,Health and Medicine,Agricultural and Veterinary Medicine,Travel and Hospitality,Computer Science and IT,Computer Science and IT,Humanities,Law,Engineering,Engineering,Health and Medicine,Creative Arts and Design,Business and Management,Business and Management,Business and Management,Health and Medicine,Travel and Hospitality,Personal Care and Fitness,Personal Care and Fitness,Personal Care and Fitness,Creative Arts and Design","Accounting,Accounting,Accounting,Applied Chemistry and Biotechnology,Arts and Science Studies,Atheltic and Exercise Therapy,Automotive Service Technician Foundation,Business Access,Business Administration,Business Administration,Business Administration,Dental Assistant,Civil Engineering Bridge,Civil Engineering Technology,Civil Engineering Technology Technology,Comics and Graphic Novels,Community Support and Education Assistant,Community, Family and Child Studies,Computer and Engineering Technician Access,Computer Network Electronics Technician,Computer Systems Technician,Computer Systems Technology ,Criminal Justice,Dental Hygiene,Digital Communication,Digital Production, Writing and Design,Early Learning and Child Care,Economics,Electrical and Computer Engineering Bridge,Electronics and Computer Engineering Technology - Renewable Energy,Electronics and Computer Engineering Technology Access,Engineering Graphics Technician,Engineering Transfer,English,Environmental Technology,General Arts,General Science,Health Care Assistant,Horticulture Technician,Hospitality Management,Information and Computer Systems Technician,Information and Computer Systems Technology,Jounalisim,Legal Office Assistant,Mechanical Engineering Technology,Mechanical Engineering Technology Access,Medical Office Assistant,Music - Performance,Office Administration,Office Fundamentals,Office Mangement,Practical Nursing,Professional Cook,Sport and Fitness Leadership,Sport Business Management,Sport Business Management Access,Visual Arts"
Canadore College,College,,Canada,North Bay,Ontario,http://www.canadorecollege.ca/,Diploma,"Business and Management,Health and Medicine,Architecture and Construction,Architecture and Construction,Social Studies and Media,Architecture and Construction,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Engineering,Engineering,Law,Travel and Hospitality,Travel and Hospitality,Health and Medicine,Social Studies and Media,Social Studies and Media,Travel and Hospitality,Architecture and Construction,Humanities,Humanities,Architecture and Construction,Architecture and Construction,Travel and Hospitality,Social Studies and Media,Creative Arts and Design,Engineering,Engineering,Architecture and Construction,Business and Management,Social Studies and Media,Health and Medicine,Business and Management,Travel and Hospitality,Social Studies and Media,Social Studies and Media","Advertising and Marketing Communications Management,Science in Nursing,Biotechnology Technician,Biotechnology Technology,Broadcasting - Television and Video Production,Buiding Construction Technician,Business,Business Administration,Business Accounting,Business Accounting,Business Fundamentals,Civil Technician,Civil Technology,Community and Justice Services,Culinary Management,Culinary Skills - Chef Training,Dental Hygiene,Digital Cenimatography,Early Childhood Education,Ecotourism,Electrical Techniques,English as a Second Language,English for Academic Purposes (International),Environmental Mangement,Environment Technician,Food and Beverage Service,General Arts and Science ,Graphic Design,Mechanical Techniques ,Machanical Technology,Motive Power Technician,Office Administration,Personal Support Worker,Practical Nursing,Public Relations,Recreation and Leisure Services,Social Service Worker,Threatre Arts - Acting for Stage and Scene"
Capilano University,Public University,,Canada,North Vancouver,British Columbia,http://www.capilanou.ca/,Certificate,"Business and Management,Business and Management,Creative Arts and Design,Creative Arts and Design,Social Studies and Media,Social Studies and Media,Creative Arts and Design,Creative Arts and Design,Creative Arts and Design,Creative Arts and Design,Creative Arts and Design,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Creative Arts and Design,Creative Arts and Design,Creative Arts and Design,Creative Arts and Design,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Engineering,Health and Medicine,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Law,Law,Law,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Travel and Hospitality,Business and Management,Business and Management,Social Studies and Media,Social Studies and Media,Social Studies and Media,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Business and Management,Business and Management,Social Studies and Media,Social Studies and Media,Creative Arts and Design,Creative Arts and Design,Creative Arts and Design,Creative Arts and Design,Creative Arts and Design","Accounting Assistant,Accounting Assistant,Acting for Stage and Screen,Acting for Stage and Screen,Adult Basic Education,Adult Basic Education,Animation, 2D and Visual Development ,Animation, 3D for Film and Games,Art History,Arts and Entertainment Management - Advanced,Arts and Entertainment Management,Business Administration,Business Administration,Business Administration,Business Administration,Business Fundamentals,Cimematography for Film and Video,Communication Studies,Communication Studies,Community Leadership and Social Change,Conducting in Music,Costuming for Stage and Screen,Creative Writing,Design - Visual Communication,Digital Visual Effects,Early Childhood Education,Early Childhood Education,Early Childhood Education,Education and Employment Access,Engineering Transition,Health Care Assistant,Indigenous Independent Digital Filmmaking,Indigenous Independent Digital Filmmaking,Jazz Studies,Jazz Studies,Legal Administrative Assistant,Legal Administrative Management,Legal Studies,Magazine Publishing,Motion Picture Arts,Motion Picture Arts,Motion Picture Arts,Music ,Music Therapy,Musical Threater,Outdoor Recreation Mangement,Rehabilitation Assistant,Retail Business Fundamentals,Technical Threatre,Threatre Institute - Directing,Threatre Institute - Production,Tourism Management,Tourism Management Co-op,Tourism Management for International Students,Accounting Assistant,Accounting Assistant,Acting for Stage and Screen,Acting for Stage and Screen,Animation, 2D and Visual Development ,Animation, 3D for Film and Games,Art History,Arts and Entertainment Management - Advanced,Arts and Entertainment Management"
